type,id_simulated,num_nodes,tour,cost,start,end,seconds
GA-P,17,4,"[0, 2, 1, 3]",813,2024-09-29 02:39:50.922550,2024-09-29 02:39:50.925862,0.003312
GA-N,17,4,"[0, 2, 1, 3]",813,2024-09-29 02:39:50.925906,2024-09-29 02:39:50.928935,0.003029
B&B,18,4,"[0, 1, 2, 3]",772,2024-09-29 02:39:50.928978,2024-09-29 02:39:50.929036,5.8e-05
GA-P,18,4,"[3, 2, 1, 0]",772,2024-09-29 02:39:50.929073,2024-09-29 02:39:50.932443,0.00337
GA-N,18,4,"[3, 2, 1, 0]",772,2024-09-29 02:39:50.932487,2024-09-29 02:39:50.935611,0.003124
B&B,19,4,"[0, 3, 1, 2]",641,2024-09-29 02:39:50.935653,2024-09-29 02:39:50.935709,5.6e-05
GA-P,19,4,"[0, 2, 1, 3]",641,2024-09-29 02:39:50.935746,2024-09-29 02:39:50.938984,0.003238
GA-N,19,4,"[0, 2, 1, 3]",641,2024-09-29 02:39:50.939027,2024-09-29 02:39:50.942119,0.003092
B&B,20,5,"[0, 4, 3, 1, 2]",687,2024-09-29 02:39:50.942504,2024-09-29 02:39:50.942676,0.000172
GA-P,20,5,"[2, 1, 3, 4, 0]",687,2024-09-29 02:39:50.942730,2024-09-29 02:39:50.948218,0.005488
GA-N,20,5,"[3, 1, 2, 0, 4]",687,2024-09-29 02:39:50.948273,2024-09-29 02:39:50.953367,0.005094
B&B,21,5,"[0, 1, 3, 4, 2]",545,2024-09-29 02:39:50.953425,2024-09-29 02:39:50.953580,0.000155
GA-P,21,5,"[3, 1, 0, 2, 4]",545,2024-09-29 02:39:50.953626,2024-09-29 02:39:50.959154,0.005528
GA-N,21,5,"[3, 1, 0, 2, 4]",545,2024-09-29 02:39:50.959212,2024-09-29 02:39:50.964245,0.005033
B&B,22,5,"[0, 1, 4, 3, 2]",456,2024-09-29 02:39:50.964291,2024-09-29 02:39:50.964438,0.000147
GA-P,22,5,"[0, 2, 3, 4, 1]",456,2024-09-29 02:39:50.964607,2024-09-29 02:39:50.970070,0.005463
GA-N,22,5,"[0, 2, 3, 4, 1]",456,2024-09-29 02:39:50.970126,2024-09-29 02:39:50.975349,0.005223
B&B,23,5,"[0, 4, 1, 2, 3]",465,2024-09-29 02:39:50.975440,2024-09-29 02:39:50.975601,0.000161
GA-P,23,5,"[3, 2, 1, 4, 0]",465,2024-09-29 02:39:50.975650,2024-09-29 02:39:50.981194,0.005544
GA-N,23,5,"[3, 2, 1, 4, 0]",465,2024-09-29 02:39:50.981289,2024-09-29 02:39:50.986321,0.005032
B&B,24,5,"[0, 1, 2, 4, 3]",818,2024-09-29 02:39:50.986410,2024-09-29 02:39:50.986586,0.000176
